departamento_destino|departamento_origen|dia_habil|dia_nohabil|diferencia_horas|factor_ajuste|factor_ajuste_transmilenio|fe_total|hora_fin|hora_inicio|id_encuesta|latitud_destino|latitud_origen|longitud_destino|longitud_origen|medio_predominante|motivoviaje|municipio_destino|municipio_origen|numero_persona|numero_viaje|pi_k_i|pi_k_ii|pi_k_iii|pico_habil|pico_nohabil|ponderador_calibrado|ponderador_calibrado_viajes|tiempo_camino|valle_habil|valle_nohabil|zat_destino|zat_origen,
Bogota D.C.|Bogota D.C.||S|00:50:00|63824667536148|120293649023643|588892177589852|15:50:00|15:00:00|18393088|46249330164369|46240088031383|-74148754038125|-74147803736891|PEATON|Ir a ver a alguien|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|5|||523|522,
Bogota D.C.|Bogota D.C.||S|00:21:11|63824667536148|120293649023643|588892177589852|00:08:59|23:47:48|18393088|46227891211967|46249330164369|-74149296554557|-74148754038125|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|109793456838786|536363636363636|1|||375858474493105|452133874132354||||522|523,
Bogota D.C.|Bogota D.C.||S|00:55:00|63824667536148|120293649023643|588892177589852|17:14:00|16:19:00|18393089|46256955833262|46242339707585|-74147845068833|-74153137198781|PEATON|Ir a ver a alguien|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|20|||418|417,
Bogota D.C.|Bogota D.C.||S|00:39:07|63824667536148|120293649023643|588892177589852|18:42:12|18:03:05|18393089|46242339707585|46256955833262|-74153137198781|-74147845068833|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|109793456838786|536363636363636|1||S|375858474493105|452133874132354|20|||417|418,
Bogota D.C.|Bogota D.C.||S|00:24:00|63824667536148|120293649023643|588892177589852|09:09:00|08:45:00|18393121|46374041418178|46227465499645|-74159658382164|-7414933519013|PEATON|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|15|||410|522,
Bogota D.C.|Bogota D.C.||S|01:00:00|63824667536148|120293649023643|588892177589852|16:15:00|15:15:00|18393121|46227465499645|46374041418178|-7414933519013|-74159658382164|TPC-SITP|Asuntos de Trabajo|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|2|||522|410,
Bogota D.C.|Bogota D.C.||S|00:15:00|63824667536148|120293649023643|176667653276956|14:15:00|14:00:00|18393154|46228803887253||-74149407812084||PEATON|Compras|BOGOTA-DC 11001|BOGOTA-DC 11001|1|1|109793456838786|536363636363636|3|||112757542347932|135640162239706|2|||522|522,
Bogota D.C.|Bogota D.C.||S|00:20:55|63824667536148|120293649023643|176667653276956|21:58:08|21:37:13|18393154|46227465499645|46228803887253|-7414933519013|-74149407812084|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|1|2|109793456838786|536363636363636|3|||112757542347932|135640162239706||||522|522,
Otros|Bogota D.C.||S|02:00:00|63824667536148|120293649023643|588892177589852|11:00:00|09:00:00|18393155|0|46333006220023|0|-74058610025899|AUTO|Recreacion|Otro|BOGOTA-DC 11001|1|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|5||S|1000|522,
Bogota D.C.|Otros||S|01:50:00|63824667536148|120293649023643|588892177589852|13:11:00|11:21:00|18393155|46227465499645|0|-7414933519013|0|AUTO|Volver a casa|BOGOTA-DC 11001|Otro|1|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|5||S|522|1000,
Otros|Bogota D.C.||S|02:00:00|63824667536148|120293649023643|588892177589852|11:00:00|09:00:00|18393155|0|45871140982757|0|-74168969891379|AUTO|Recreacion|Otro|BOGOTA-DC 11001|2|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|10||S|1000|522,
Bogota D.C.|Otros||S|01:50:00|63824667536148|120293649023643|588892177589852|14:36:00|12:46:00|18393155|46227465499645|0|-7414933519013|0|AUTO|Volver a casa|BOGOTA-DC 11001|Otro|2|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|10|||522|1000,
Bogota D.C.|Bogota D.C.||S|00:10:00|63824667536148|120293649023643|588892177589852|14:10:00|14:00:00|18393155|46242339707585|46227465499645|-74153137198781|-7414933519013|PEATON|Otra cosa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|10|||417|522,
Bogota D.C.|Bogota D.C.||S|00:10:00|63824667536148|120293649023643|588892177589852|15:11:10|15:01:10|18393155|46227465499645|46242339707585|-7414933519013|-74153137198781|PEATON|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|10|||522|417,
Bogota D.C.|Bogota D.C.||S|01:05:00|63824667536148|120293649023643|588892177589852|07:25:00|06:20:00|18393161|4648399240235|46273038824025|-7406103062517|-74154486518355|MOTO|Estudiar|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|5|||255|417,
Bogota D.C.|Bogota D.C.||S|00:45:00|63824667536148|120293649023643|588892177589852|18:45:00|18:00:00|18393161|46242339707585|4648399240235|-74153137198781|-7406103062517|MOTO|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|109793456838786|536363636363636|1||S|375858474493105|452133874132354|0|||417|255,
Bogota D.C.|Bogota D.C.||S|01:00:00|63824667536148|120293649023643|588892177589852|10:30:00|09:30:00|18393161|46835474479228|46242339707585|-74057749217058|-74153137198781|AUTO|Buscar / Dejar alguien bajo su cuidad|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|2||S|849|417,
Bogota D.C.|Bogota D.C.||S|02:30:00|63824667536148|120293649023643|588892177589852|14:00:00|11:30:00|18393161|46242339707585|46835474479228|-74153137198781|-74057749217058|AUTO|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|2|||417|849,
Bogota D.C.|Bogota D.C.||S|01:40:00|63824667536148|120293649023643|588892177589852|09:40:00|08:00:00|18393162|47003020340384|46227465499645|-74096668648441|-7414933519013|Transmilenio|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|2|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|3|||130|522,
Bogota D.C.|Bogota D.C.||S|01:00:00|63824667536148|120293649023643|588892177589852|20:00:00|19:00:00|18393162|46227465499645|47003020340384|-7414933519013|-74096668648441|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|2|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|7|||522|130,
Bogota D.C.|Bogota D.C.||S|00:50:00|63824667536148|120293649023643|588892177589852|08:50:00|08:00:00|18393162|4664543459547|46227465499645|-74058269876765|-7414933519013|Transmilenio|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|3|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|10|||241|522,
Bogota D.C.|Bogota D.C.||S|01:30:00|63824667536148|120293649023643|588892177589852|20:30:00|19:00:00|18393162|46227465499645|4664543459547|-7414933519013|-74058269876765|Transmilenio|Volver a casa|BOGOTA-DC 11001|BOGOTA-DC 11001|3|2|109793456838786|536363636363636|1|||375858474493105|452133874132354|7|||522|241,
Bogota D.C.|Bogota D.C.||S|00:50:00|63824667536148|120293649023643|588892177589852|08:50:00|08:00:00|18393162|466591436328|46227465499645|-740587052719|-7414933519013|Transmilenio|Trabajar|BOGOTA-DC 11001|BOGOTA-DC 11001|4|1|109793456838786|536363636363636|1|||375858474493105|452133874132354|10|||241|522,
